valle-coche,valle coche
aut,autopista
dl,del
d,de
acaba,acabo
acaban,acabo
accesos,acceso
accidentados,accidentado
adj,adjuntas
ff,francisco fajardo
aff,francisco fajardo
autopista francisco fajardo,francisco fajardo
fajardo,francisco fajardo
autopff,francisco fajardo
alt,altamira
nivel,altura
cuidado,alerta
peligro,alerta
atencion,alerta
atención,alerta
ambossentidos,ambos
ambasdirecciones,ambos
anz,Anzoategui
alternas,alterna
arc,regional del centro
atascado,atasco
atascados,atasco
atascada,atasco
atracadores,atracador
atracarlas,atracador
autobus,auto
autobuses,auto
autobusete,auto
buseta,auto
camion,auto
camión,auto
carro,auto
gandola,auto
camioncito,auto
camiones,auto
camioneteros,auto
autopistas,autopista
autop,autopista
autoridades,autoridad
avance,avanzando
avanzan,avanzando
avanzar,avanzando
av,avenida
av.,avenida
ave,avenida
pnm,panamericana
avlibertador,avenida libertador
libertador,avenida libertador
avohiggins,avenida o'higgins
o'higgins,avenida o'higgins
avnvagranda,avenida nueva granada
nvagranda,avenida nueva granada
avlecuna,avenida lecuna
lecuna,avenida lecuna
avfcodemiranda,avenida francisco de miranda
francisco de miranda,avenida francisco de miranda
fco,francisco
fm,avenida francisco de miranda
avpanteon,avenida panteon
avsucre,avenida sucre
avuniversidad,avenida universidad
avurdaneta,avenida urdaneta
avpaez,avenida paez
paez,avenida paez
paes,avenida paez
lamas,avenida jose angel lamas
avlamas,avenida jose angel lamas
avbaralt,avenida baralt
avbolivar,avenida bolivar
avboyaca,avenida boyaca
avcentral,avenida central
avchivacoa,avenida chivacoa
avmoran,avenida moran
avmexico,avenida mexico
avturumo,avenida turumo
avvictoria,avenida victoria
avcasanova,avenida casanova
ayudar,ayuda
ayudando,ayuda
bajando,baja
bajada,baja
bajan,baja
baral,baralt
bqto,barquisimeto
barqusimeto,barquisimeto
brt,baruta
boleíta,boleita
bolívar,bolivar
boyaca,avenida boyaca
boyacá,avenida boyaca
cotamil,avenida boyaca
cmil,avenida boyaca
cotamil,avenida boyaca
cota,avenida boyaca
bulevar,boulevar
blv,boulevar
bvard,boulevar
cafetal,el cafetal
cafetales,el cafetal
caf,el cafetal
calles,calle
cll,calle
campits,campitos
cct,ccct
camiones,auto
cbb,carabobo
carac,caracas
ccs,caracas
ccas,caracas
cc,centro comercial
ceerado,cerrada
cerradas,cerrada
cerrados,cerrada
cierre,cerrada
charallavecua,charallave
choques,choque
colisión,choque
colision,choque
accidente,choque
accidnt,choque
choca,choque
chocada,choque
chocaron,choque
choq,choque
circunvalación,circunvalacion
circulación,circulacion
circular,circulacion
circula,circulacion
colas,cola
colotas,cola
colita,cola
colapsado,colapsada
colapsados,colapsada
colafuerte,colapsada
colisición,choque
colisiona,choque
complica,complicada
complicaciones,complicada
complicada,complicada
complicado,complicada
complicaiones,complicada
complicando,complicada
complico,complicada
conductores,conductor
congestionada,congestion
congestionado,congestion
congestión,congestion
congestionamiento,congestion
conjestionada,congestion
country,country club
cotamil,boyaca
demolición,demolicion
demoliciones,demolicion
demoliendo,demolicion
demoler,demolicion
despejado,despejada
depejada,despejada
después,despues
detenido,detenida
detenidos,detenida
detenidas,detenida
distr,distribuidor
distrb,distribuidor
distrib,distribuidor
distribu,distribuidor
dstribuidor,distribuidor
dirrección,direccion
dir,direccion
direcciones,direccion
dirección,direccion
metropolitano,distribuidor metropolitano
dmetropolitano,distribuidor metropolitano
encunetado,encunetada
encunetamiento,encunetada
exelente,excelente
excelete,excelente
evitarla,evitar
eviten,evitar
filasdemariche,filas de mariche
fluido,fluida
fluidez,fluida
fluye,fluida
ganadola,auto
gandola,auto
gma,gran mariscal ayacucho
guarena,guarenas
hombri,hombrillo
huecos,hueco
incorporación,incoporarse
incorporacion,incoporarse
incorporarse,incoporarse
incoporase,incoporarse
iut,iutrc
janeiro,rio de janeiro
llueve,lluvia
lluvias,lluvia
lloviznando,lluvia
llovizna,lluvia
maripérez,mariperez
mariche,mariches
mejorando,mejorar
mejora,mejorar
mejorando,mejorar
mejor,mejorar
motoriz,motorizado
motorizados,motorizado
moderada,moderado
moderad,moderado
mapote,mampote
manifestación,manifestacion
manifestantes,manifestacion
manifestaciones,manifestacion
mcy,maracay
oe,oeste
e,este
parados,parada
parado,parada
pequeño,pequeña
pequeñas,
pequeños,pequeña
precaución,precaucion
precauciones,precaucion
precau,precaucion
precauci,precaucion
prec,precaucion
problemas,problema
ppal,avenida principal
ppl,avenida principal
avppal,avenida principal
ppla,avenida principal
hdlp,hoyo de la puerta
hdp,hoyo de la puerta
recomendación,recomendacion
recomendable,recomendacion
recomendamos,recomendacion
recomienda,recomendacion
recomiendo,recomendacion
restrigen,restringido
restringe,restringido
restricción,restringido
restriccion,restringido
restricciones,restringido
restringido,restringido
restablecen,restablecer
restablece,restablecer
restablecida,restablecer
restablecimiento,restablecer
restablezcan,restablecer
retrasos,retraso
retardos,retardo
retaso,retardo
rápido,rapida
rapido,rapida
rápida,rapida
ruises,ruices
saliendo,salir
salida,salir
salids,salir
salidas,salir
samáforo,semaforo
samaforos,semaforo
semáforos,semaforo
sebuca,sebucan
srbucan,sebucan
ssa,san antonio
saa,san antonio
sta,santa
sectores,sector
usb,universidad simon bolivar
cola,trafico
tranca,trafico
transita,transitable
transit,transitable
trancado,trancada
tranca,trancada
trancamericana,trancada
trancan,trancada
trancando,trancada
trancaron,trancada
trancarse,trancada
tránsito,transito
transitando,transito
transitar,transito
transite,transito
transitando,transito
transitada,transito
tuneles,tunel
túnel,tunel
terc,tercera
tercer,tercera
tercerca,tercera
ltq,los teques
tranca,trancada
trancado,trancada
universida,universidad
universidades,universidad
ucv,universidad central
central,universidad central
ucab,universidad catolica
católica,universidad catolica
catolica,universidad catolica
vallecoche,valle coche
vc,valle coche
veneziuela,venezuela
vzla,venezuela
venezue,venezuela
ven,venezuela
vzl,venezuela
vzlaezuela,venezuela
vuelco,volcamiento
volcado,volcamiento
volcada,volcamiento
volcad,volcamiento
volteado,volcamiento
voltear,volcamiento
voltó,volcamiento
vía,via
viaducto,via
vías,via
volúmen,volumen
